team,season,elo_start_of_season,elo_end_of_season,elo_mean_of_season
Valencia,20/21,1337.8142852901408,1308.6086339877832,1314.8303615340342
Valladolid,20/21,1281.560795426314,1224.157443529255,1258.788341692401
Villarreal,20/21,1381.2435112515057,1375.7132592500427,1393.8084652074592
Alaves,21/22,1264.336067907331,1204.5690305509802,1230.1197294160918
Ath Bilbao,21/22,1320.4561947046411,1355.0768033797506,1349.6697516534566
Ath Madrid,21/22,1539.8917259688565,1488.6784239991157,1496.7897616729024
Barcelona,21/22,1521.9679577476309,1498.1159023313471,1496.7683519276427
Betis,21/22,1401.5264734190418,1416.8746138073038,1406.0517869557582
Cadiz,21/22,1288.244842208119,1309.1244981574505,1262.7749483119303
Celta,21/22,1362.9813446998744,1315.2953723093226,1332.2671483067186
Elche,21/22,1258.676570858443,1275.7930351552627,1267.1510221960268
Espanol,21/22,1191.5578451392903,1246.214285075217,1246.64122738792
Getafe,21/22,1258.0071581148925,1288.095720578021,1254.2395556696886
Granada,21/22,1277.0370836166312,1262.153296130432,1266.9023245612757
Levante,21/22,1274.4104102016204,1282.9611446806528,1230.567284718369
Mallorca,21/22,1230.3356991740782,1246.408386694483,1239.554247275801
Osasuna,21/22,1314.7458789096731,1298.075245790163,1323.6398690914623
Real Madrid,21/22,1577.2318405337892,1570.4744549559666,1584.448342584182
Sevilla,21/22,1492.9002801130418,1468.5057778159744,1494.2410072186135
Sociedad,21/22,1393.0455221107525,1399.5336032294706,1410.1400448798277
Valencia,21/22,1308.6086339877832,1314.2625645834328,1331.113560507125
Vallecano,21/22,1213.4880972150418,1233.8118690080807,1263.7359443398934
Villarreal,21/22,1375.7132592500427,1391.138857648148,1376.5811024897346
Almeria,22/23,1300.0,1278.228582514533,1280.027727851199
Ath Bilbao,22/23,1355.0768033797506,1313.254933673473,1352.7899440596357
Ath Madrid,22/23,1488.6784239991157,1509.8708616018405,1489.169692945234
Barcelona,22/23,1498.1159023313471,1515.8804721562335,1557.1451314724648
Betis,22/23,1416.8746138073038,1386.2078990186546,1410.0469164747358
Cadiz,22/23,1309.1244981574505,1296.6424917373338,1288.5919862499752
Celta,22/23,1315.2953723093226,1280.9212574272133,1301.96488830452
Elche,22/23,1275.7930351552627,1220.1768908374615,1199.453914251682
Espanol,22/23,1246.214285075217,1255.4363257592254,1249.9132527459478
Getafe,22/23,1288.095720578021,1295.222750425481,1275.091677553278
Girona,22/23,1218.8480579677905,1307.6923540093617,1268.306074786876
Mallorca,22/23,1246.408386694483,1312.9916870378984,1283.1640742119937
Osasuna,22/23,1298.075245790163,1330.25541737772,1323.2773297876986
Real Madrid,22/23,1570.4744549559666,1495.2858736857677,1561.3954806847812
Sevilla,22/23,1468.5057778159744,1366.9000005530677,1384.9468534103355
Sociedad,22/23,1399.5336032294706,1457.6683531982903,1422.0512847100515
Valencia,22/23,1314.2625645834328,1287.3743187190844,1285.249156703514
Valladolid,22/23,1224.157443529255,1250.7548158389775,1241.3475344116164
Vallecano,22/23,1233.8118690080807,1282.1970241954596,1288.8257853743787
Villarreal,22/23,1391.138857648148,1415.522606248479,1395.1990347259446
Alaves,23/24,1204.5690305509802,1297.9886351828031,1236.1681081891213
Almeria,23/24,1278.228582514533,1196.800094459608,1188.3520041675638
Ath Bilbao,23/24,1313.254933673473,1403.5388497173417,1387.172581652174
Ath Madrid,23/24,1509.8708616018405,1479.5546043742634,1498.6137641432097
Barcelona,23/24,1515.8804721562335,1548.6356316441354,1532.5856126776348
Betis,23/24,1386.2078990186546,1377.5276651684462,1389.416814675731
Cadiz,23/24,1296.6424917373338,1243.86497225866,1257.0560301869657
Celta,23/24,1280.9212574272133,1296.140169293929,1255.0628828456277
Getafe,23/24,1295.222750425481,1251.2174456969276,1307.423159533565
Girona,23/24,1307.6923540093617,1445.7846700355085,1424.159461159776
Granada,23/24,1262.153296130432,1150.5415816022864,1194.289347214211
Las Palmas,23/24,1110.567015444141,1200.0137187299838,1201.9085908846737
Mallorca,23/24,1312.9916870378984,1292.3179607626605,1284.0732465253132
Osasuna,23/24,1330.25541737772,1295.8018247753334,1305.5602144734007
Real Madrid,23/24,1495.2858736857677,1601.9462572441305,1560.5977841097078
Sevilla,23/24,1366.9000005530677,1292.5872818316875,1308.6907667703251
Sociedad,23/24,1457.6683531982903,1396.7185406503652,1424.5127879449333
Valencia,23/24,1287.3743187190844,1291.443326144614,1312.9709714150508
Vallecano,23/24,1282.1970241954596,1246.6692007952952,1283.783392580379
Villarreal,23/24,1415.522606248479,1400.3137953374655,1354.9698997291734
Alaves,24/25,1297.9886351828031,1311.2308995810329,1276.4353066320132
Ath Bilbao,24/25,1403.5388497173417,1462.4646554275066,1434.026046631542
Ath Madrid,24/25,1479.5546043742634,1480.4339621599413,1497.604686949992
Barcelona,24/25,1548.6356316441354,1580.597210139986,1554.8668705769935
Betis,24/25,1377.5276651684462,1406.3051765913158,1382.0319770111164
Celta,24/25,1296.140169293929,1357.88242480772,1314.9573459872324
Espanol,24/25,1255.4363257592254,1285.266758104044,1267.0495174993778
Getafe,24/25,1251.2174456969276,1259.5581161659527,1273.984024979021
Girona,24/25,1445.7846700355085,1272.9966463524615,1365.7090670096586
Las Palmas,24/25,1200.0137187299838,1184.463908982283,1217.8414160101584
Leganes,24/25,1287.8260453719374,1284.5033757392182,1272.1715439835225
Mallorca,24/25,1292.3179607626605,1283.7215515137975,1314.5397103510395
Osasuna,24/25,1295.8018247753334,1361.6877533542718,1323.6001068512282
Real Madrid,24/25,1601.9462572441305,1570.6659060731286,1580.8371271466733
Sevilla,24/25,1292.5872818316875,1264.2353024309202,1297.26928015798
Sociedad,24/25,1396.7185406503652,1302.6041244361184,1347.9768374225562
Valencia,24/25,1291.443326144614,1341.2682925126671,1283.68761256535
Valladolid,24/25,1250.7548158389775,1088.3066549450316,1187.3539007530271
Vallecano,24/25,1246.6692007952952,1341.8236072014015,1297.888592269397
Villarreal,24/25,1400.3137953374655,1472.2004378362317,1419.7560826788038
Alaves,25/26,1311.2308995810329,1303.2838782643755,1318.183679427615
Ath Bilbao,25/26,1462.4646554275066,1408.65358084197,1450.4291874156445
Ath Madrid,25/26,1480.4339621599413,1499.17105575784,1467.176968323995
Barcelona,25/26,1580.597210139986,1563.720025168923,1584.1878766106108
Betis,25/26,1406.3051765913158,1414.771747953092,1408.3066045516207
Celta,25/26,1357.88242480772,1342.4964144370267,1336.2997804732447
Elche,25/26,1220.1768908374615,1269.803915386292,1263.0520302348384
Espanol,25/26,1285.266758104044,1343.8612489121467,1326.7802129963604
Getafe,25/26,1259.5581161659527,1294.8503602325366,1286.480957708892
Girona,25/26,1272.9966463524615,1255.936463987799,1247.6613196143803
Las Palmas,25/26,1184.463908982283,,
Leganes,25/26,1284.5033757392182,,
Levante,25/26,1282.9611446806528,1269.63753941984,1265.9594788512536
Mallorca,25/26,1283.7215515137975,1282.301418004008,1273.68127419583
Osasuna,25/26,1361.6877533542718,1326.503216402822,1350.9275586265132
Oviedo,25/26,1300.0,1256.1533933811388,1277.1172478086603
Real Madrid,25/26,1570.6659060731286,1610.310560794884,1591.5595562333824
